캐릭터 스테이터스 관리,,,,,,,,,,,,
캐릭터의 Id (70001부터 +1씩 증가), 레벨, 체력, 공격력, 마법공격력, 공격속도, 크리티컬 확률, 크리티컬 데미지, 방어력, 마법저항력, 체력 재생력, 이동속도,캐릭터 레벨 업 시 필요한 경험치
70099,99,8433,2249,0,1.098,2,3,337,337,10,1,56944679
70100,100,8644,2305,0,1.099,2,3,346,346,10,1,62639147
70101,101,8860,2363,0,1.1,2,3,354,354,10,1,68903062
70102,102,9082,2422,0,1.101,2,3,363,363,10,1,75793368
70103,103,9309,2482,0,1.102,2,3,372,372,10,1,83372705
70104,104,9542,2544,0,1.103,2,3,382,382,10,1,91709975
70105,105,9780,2608,0,1.104,2,3,391,391,10,1,100880973
70106,106,10025,2673,0,1.105,2,3,401,401,10,1,110969070
70107,107,10275,2740,0,1.106,2,3,411,411,10,1,122065977
70108,108,10532,2809,0,1.107,2,3,421,421,10,1,134272575
70109,109,10795,2879,0,1.108,2,3,432,432,10,1,147699832
70110,110,11065,2951,0,1.109,2,3,443,443,10,1,162469815
70111,111,11342,3025,0,1.11,2,3,454,454,10,1,178716797
70112,112,11625,3100,0,1.111,2,3,465,465,10,1,196588476
70113,113,11916,3178,0,1.112,2,3,477,477,10,1,216247324
70114,114,12214,3257,0,1.113,2,3,489,489,10,1,237872056
70115,115,12519,3338,0,1.114,2,3,501,501,10,1,261659262
70116,116,12832,3422,0,1.115,2,3,513,513,10,1,287825188
70117,117,13153,3508,0,1.116,2,3,526,526,10,1,316607707
70118,118,13482,3595,0,1.117,2,3,539,539,10,1,348268478
70119,119,13819,3685,0,1.118,2,3,553,553,10,1,383095326
70120,120,14164,3777,0,1.119,2,3,567,567,10,1,421404858
70121,121,14519,3872,0,1.12,2,3,581,581,10,1,463545344
70122,122,14882,3968,0,1.121,2,3,595,595,10,1,509899878
70123,123,15254,4068,0,1.122,2,3,610,610,10,1,560889866
70124,124,15635,4169,0,1.123,2,3,625,625,10,1,616978853
70125,125,16026,4274,0,1.124,2,3,641,641,10,1,678676738
70126,126,16426,4380,0,1.125,2,3,657,657,10,1,746544412
70127,127,16837,4490,0,1.126,2,3,673,673,10,1,821198853
70128,128,17258,4602,0,1.127,2,3,690,690,10,1,903318739
70129,129,17690,4717,0,1.128,2,3,708,708,10,1,993650613
70130,130,18132,4835,0,1.129,2,3,725,725,10,1,1093015674
70131,131,18585,4956,0,1.13,2,3,743,743,10,1,1202317241
70132,132,19050,5080,0,1.131,2,3,762,762,10,1,1322548965
70133,133,19526,5207,0,1.132,2,3,781,781,10,1,1454803862
70134,134,20014,5337,0,1.133,2,3,801,801,10,1,1600284248
70135,135,20514,5471,0,1.134,2,3,821,821,10,1,1760312673
70136,136,21027,5607,0,1.135,2,3,841,841,10,1,1936343940
70137,137,21553,5747,0,1.136,2,3,862,862,10,1,2129978334
70138,138,22092,5891,0,1.137,2,3,884,884,10,1,2342976167
70139,139,22644,6038,0,1.138,2,3,906,906,10,1,2577273784
70140,140,23210,6189,0,1.139,2,3,928,928,10,1,2835001163
70141,141,23790,6344,0,1.14,2,3,952,952,10,1,3118501279
70142,142,24385,6503,0,1.141,2,3,975,975,10,1,3430351407
70143,143,24995,6665,0,1.142,2,3,1000,1000,10,1,3773386547
70144,144,25620,6832,0,1.143,2,3,1025,1025,10,1,4150725202
70145,145,26260,7003,0,1.144,2,3,1050,1050,10,1,4565797722
70146,146,26917,7178,0,1.145,2,3,1077,1077,10,1,5022377495
70147,147,27590,7357,0,1.146,2,3,1104,1104,10,1,5524615244
70148,148,28279,7541,0,1.147,2,3,1131,1131,10,1,6077076769
70149,149,28986,7730,0,1.148,2,3,1159,1159,10,1,6684784445
70150,150,29711,7923,0,1.149,2,3,1188,1188,10,1,7353262890
70151,151,30454,8121,0,1.15,2,3,1218,1218,10,1,8088589179
70152,152,31215,8324,0,1.151,2,3,1249,1249,10,1,8897448097
70153,153,31995,8532,0,1.152,2,3,1280,1280,10,1,9787192906
70154,154,32795,8745,0,1.153,2,3,1312,1312,10,1,10765912197
70155,155,33615,8964,0,1.154,2,3,1345,1345,10,1,11842503417
70156,156,34456,9188,0,1.155,2,3,1378,1378,10,1,13026753758
70157,157,35317,9418,0,1.156,2,3,1413,1413,10,1,14329429134
70158,158,36200,9653,0,1.157,2,3,1448,1448,10,1,15762372048
70159,159,37105,9895,0,1.158,2,3,1484,1484,10,1,17338609253
70160,160,38033,10142,0,1.159,2,3,1521,1521,10,1,19072470178
70161,161,38983,10396,0,1.16,2,3,1559,1559,10,1,20979717196
70162,162,39958,10655,0,1.161,2,3,1598,1598,10,1,23077688915
70163,163,40957,10922,0,1.162,2,3,1638,1638,10,1,25385457807
70164,164,41981,11195,0,1.163,2,3,1679,1679,10,1,27924003587
70165,165,43030,11475,0,1.164,2,3,1721,1721,10,1,30716403946
70166,166,44106,11762,0,1.165,2,3,1764,1764,10,1,33788044341
70167,167,45209,12056,0,1.166,2,3,1808,1808,10,1,37166848775
70168,168,46339,12357,0,1.167,2,3,1854,1854,10,1,40883533652
70169,169,47497,12666,0,1.168,2,3,1900,1900,10,1,44971887017
70170,170,48685,12983,0,1.169,2,3,1947,1947,10,1,49469075719
70171,171,49902,13307,0,1.17,2,3,1996,1996,10,1,54415983291
70172,172,51150,13640,0,1.171,2,3,2046,2046,10,1,59857581620
70173,173,52428,13981,0,1.172,2,3,2097,2097,10,1,65843339782
70174,174,53739,14330,0,1.173,2,3,2150,2150,10,1,72427673760
70175,175,55083,14689,0,1.174,2,3,2203,2203,10,1,79670441136
70176,176,56460,15056,0,1.175,2,3,2258,2258,10,1,87637485250
70177,177,57871,15432,0,1.176,2,3,2315,2315,10,1,96401233775
70178,178,59318,15818,0,1.177,2,3,2373,2373,10,1,106041357153
70179,179,60801,16214,0,1.178,2,3,2432,2432,10,1,116645492868
70180,180,62321,16619,0,1.179,2,3,2493,2493,10,1,128310042155
70181,181,63879,17034,0,1.18,2,3,2555,2555,10,1,141141046370
70182,182,65476,17460,0,1.181,2,3,2619,2619,10,1,155255151007
70183,183,67113,17897,0,1.182,2,3,2685,2685,10,1,170780666108
70184,184,68791,18344,0,1.183,2,3,2752,2752,10,1,187858732719
70185,185,70510,18803,0,1.184,2,3,2820,2820,10,1,206644605990
70186,186,72273,19273,0,1.185,2,3,2891,2891,10,1,227309066589
70187,187,74080,19755,0,1.186,2,3,2963,2963,10,1,250039973248
70188,188,75932,20248,0,1.187,2,3,3037,3037,10,1,275043970573
70189,189,77830,20755,0,1.188,2,3,3113,3113,10,1,302548367631
70190,190,79776,21274,0,1.189,2,3,3191,3191,10,1,332803204394
70191,191,81770,21805,0,1.19,2,3,3271,3271,10,1,366083524833
70192,192,83815,22351,0,1.191,2,3,3353,3353,10,1,402691877316
70193,193,85910,22909,0,1.192,2,3,3436,3436,10,1,442961065048
70194,194,88058,23482,0,1.193,2,3,3522,3522,10,1,487257171553
70195,195,90259,24069,0,1.194,2,3,3610,3610,10,1,535982888708
70196,196,92516,24671,0,1.195,2,3,3701,3701,10,1,589581177579
70197,197,94828,25288,0,1.196,2,3,3793,3793,10,1,648539295337
70198,198,97199,25920,0,1.197,2,3,3888,3888,10,1,713393224870
70199,199,99629,26568,0,1.198,2,3,3985,3985,10,1,784732547357
70200,200,102120,27232,0,1.199,2,3,4085,4085,10,1,863205802093
