센션 별 보상,,,,,(오버드라이브 게이지 상승템)
130060,2136,0.6,4270,0.6,10
130061,2148,0.6,4295,0.6,10
130062,2160,0.6,4321,0.6,10
130063,2175,0.6,4347,0.6,10
130064,2187,0.6,4373,0.6,10
130065,2199,0.6,4399,0.6,10
130066,2214,0.6,4426,0.6,10
130067,2226,0.6,4452,0.6,10
130068,2241,0.6,4479,0.6,10
130069,2253,0.6,4506,0.6,10
130070,2265,0.6,4533,0.6,10
130071,2280,0.6,4560,0.6,10
130072,2295,0.6,4588,0.6,10
130073,2307,0.6,4615,0.6,10
130074,2322,0.6,4643,0.6,10
130075,2334,0.6,4671,0.6,10
130076,2349,0.6,4699,0.6,10
130077,2364,0.6,4727,0.6,10
130078,2379,0.6,4755,0.6,10
130079,2391,0.6,4784,0.6,10
130080,2406,0.6,4812,0.6,10
130081,2421,0.6,4841,0.6,10
130082,2436,0.6,4870,0.6,10
130083,2451,0.6,4900,0.6,10
130084,2463,0.6,4929,0.6,10
130085,2478,0.6,4959,0.6,10
130086,2493,0.6,4988,0.6,10
130087,2508,0.6,5018,0.6,10
130088,2523,0.6,5048,0.6,10
130089,2538,0.6,5079,0.6,10
130090,2556,0.6,5109,0.6,10
130091,2571,0.6,5140,0.6,10
130092,2586,0.6,5171,0.6,10
130093,2601,0.6,5202,0.6,10
130094,2616,0.6,5233,0.6,10
130095,2631,0.6,5264,0.6,10
130096,2649,0.6,5296,0.6,10
130097,2664,0.6,5328,0.6,10
130098,2679,0.6,5360,0.6,10
130099,2697,0.6,5392,0.6,10
130100,2712,0.6,5424,0.6,10
130101,2727,0.6,5457,0.6,10
130102,2745,0.6,5489,0.6,10
130103,2760,0.6,5522,0.6,10
130104,2778,0.6,5555,0.6,10
130105,2793,0.6,5589,0.6,10
130106,2811,0.6,5622,0.6,10
130107,2829,0.6,5656,0.6,10
130108,2844,0.6,5690,0.6,10
130109,2862,0.6,5724,0.6,10
130110,2880,0.6,5758,0.6,10
130111,2895,0.6,5793,0.6,10
130112,2913,0.6,5828,0.6,10
130113,2931,0.6,5863,0.6,10
130114,2949,0.6,5898,0.6,10
130115,2967,0.6,5933,0.6,10
130116,2985,0.6,5969,0.6,10
130117,3003,0.6,6005,0.6,10
130118,3021,0.6,6041,0.6,10
130119,3039,0.6,6077,0.6,10
130120,3057,0.6,6113,0.6,10
130121,3075,0.6,6150,0.6,10
130122,3093,0.6,6187,0.6,10
130123,3111,0.6,6224,0.6,10
130124,3132,0.6,6261,0.6,10
130125,3150,0.6,6299,0.6,10
130126,3168,0.6,6337,0.6,10
130127,3186,0.6,6375,0.6,10
130128,3207,0.6,6413,0.6,10
130129,3225,0.6,6452,0.6,10
130130,3246,0.6,6490,0.6,10
130131,3264,0.6,6529,0.6,10
130132,3285,0.6,6568,0.6,10
130133,3303,0.6,6608,0.6,10
130134,3324,0.6,6647,0.6,10
130135,3345,0.6,6687,0.6,10
130136,3363,0.6,6727,0.6,10
130137,3384,0.6,6768,0.6,10
130138,3405,0.6,6808,0.6,10
130139,3426,0.6,6849,0.6,10
130140,3444,0.6,6890,0.6,10
130141,3465,0.6,6932,0.6,10
130142,3486,0.6,6973,0.6,10
130143,3507,0.6,7015,0.6,10
130144,3528,0.6,7057,0.6,10
130145,3549,0.6,7100,0.6,10
130146,3570,0.6,7142,0.6,10
130147,3591,0.6,7185,0.6,10
130148,3615,0.6,7228,0.6,10
130149,3636,0.6,7271,0.6,10
130150,3657,0.6,7315,0.6,10
130151,3678,0.6,7359,0.6,10
130152,3702,0.6,7403,0.6,10
130153,3723,0.6,7448,0.6,10
130154,3747,0.6,7492,0.6,10
130155,3768,0.6,7537,0.6,10
130156,3792,0.6,7582,0.6,10
130157,3813,0.6,7628,0.6,10
130158,3837,0.6,7674,0.6,10
130159,3861,0.6,7720,0.6,10
130160,3882,0.6,7766,0.6,10
130161,3906,0.6,7813,0.6,10
130162,3930,0.6,7860,0.6,10
130163,3954,0.6,7907,0.6,10
130164,3978,0.6,7954,0.6,10
130165,4002,0.6,8002,0.6,10
130166,4026,0.6,8050,0.6,10
130167,4050,0.6,8098,0.6,10
130168,4074,0.6,8147,0.6,10
130169,4098,0.6,8196,0.6,10
130170,4122,0.6,8245,0.6,10
130171,4146,0.6,8294,0.6,10
130172,4173,0.6,8344,0.6,10
130173,4197,0.6,8394,0.6,10
130174,4221,0.6,8444,0.6,10
130175,4248,0.6,8495,0.6,10
130176,4272,0.6,8546,0.6,10
130177,4299,0.6,8597,0.6,10
130178,4323,0.6,8649,0.6,10
130179,4350,0.6,8701,0.6,10
130180,4377,0.6,8753,0.6,10
130181,4404,0.6,8806,0.6,10
130182,4428,0.6,8858,0.6,10
130183,4455,0.6,8912,0.6,10
130184,4482,0.6,8965,0.6,10
130185,4509,0.6,9019,0.6,10
130186,4536,0.6,9073,0.6,10
130187,4563,0.6,9127,0.6,10
130188,4590,0.6,9182,0.6,10
130189,4620,0.6,9237,0.6,10
130190,4647,0.6,9293,0.6,10
130191,4674,0.6,9348,0.6,10
130192,4701,0.6,9404,0.6,10
130193,4731,0.6,9461,0.6,10
130194,4758,0.6,9518,0.6,10
130195,4788,0.6,9575,0.6,10
130196,4815,0.6,9632,0.6,10
130197,4845,0.6,9690,0.6,10
130198,4875,0.6,9748,0.6,10
130199,4902,0.6,9807,0.6,10
130200,4932,0.6,9866,0.6,10
130201,4962,0.6,9925,0.6,10
130202,4992,0.6,9984,0.6,10
130203,5022,0.6,10044,0.6,10
130204,5052,0.6,10104,0.6,10
130205,5082,0.6,10165,0.6,10
130206,5112,0.6,10226,0.6,10
130207,5145,0.6,10287,0.6,10
130208,5175,0.6,10349,0.6,10
130209,5205,0.6,10411,0.6,10
130210,5238,0.6,10474,0.6,10
130211,5268,0.6,10537,0.6,10
130212,5301,0.6,10600,0.6,10
130213,5331,0.6,10663,0.6,10
130214,5364,0.6,10727,0.6,10
130215,5397,0.6,10792,0.6,10
130216,5427,0.6,10856,0.6,10
130217,5460,0.6,10922,0.6,10
130218,5493,0.6,10987,0.6,10
130219,5526,0.6,11053,0.6,10
130220,5559,0.6,11119,0.6,10
130221,5592,0.6,11186,0.6,10
130222,5628,0.6,11253,0.6,10
130223,5661,0.6,11321,0.6,10
130224,5694,0.6,11389,0.6,10
130225,5727,0.6,11457,0.6,10
130226,5763,0.6,11526,0.6,10
130227,5796,0.6,11595,0.6,10
130228,5832,0.6,11664,0.6,10
130229,5868,0.6,11734,0.6,10
130230,5901,0.6,11805,0.6,10
130231,5937,0.6,11876,0.6,10
130232,5973,0.6,11947,0.6,10
130233,6009,0.6,12019,0.6,10
130234,6045,0.6,12091,0.6,10
130235,6081,0.6,12163,0.6,10
130236,6117,0.6,12236,0.6,10
130237,6156,0.6,12310,0.6,10
130238,6192,0.6,12383,0.6,10
130239,6228,0.6,12458,0.6,10
130240,6267,0.6,12533,0.6,10
130241,6303,0.6,12608,0.6,10
130242,6342,0.6,12683,0.6,10
130243,6381,0.6,12759,0.6,10
130244,6417,0.6,12836,0.6,10
130245,6456,0.6,12913,0.6,10
130246,6495,0.6,12991,0.6,10
130247,6534,0.6,13068,0.6,10
130248,6573,0.6,13147,0.6,10
130249,6612,0.6,13226,0.6,10
130250,6654,0.6,13305,0.6,10
130251,6693,0.6,13385,0.6,10
130252,6732,0.6,13465,0.6,10
130253,6774,0.6,13546,0.6,10
130254,6813,0.6,13627,0.6,10
130255,6855,0.6,13709,0.6,10
130256,6897,0.6,13791,0.6,10
130257,6936,0.6,13874,0.6,10
130258,6978,0.6,13957,0.6,10
130259,7020,0.6,14041,0.6,10
130260,7062,0.6,14125,0.6,10
130261,7104,0.6,14210,0.6,10
130262,7149,0.6,14295,0.6,10
130263,7191,0.6,14381,0.6,10
130264,7233,0.6,14467,0.6,10
130265,7278,0.6,14554,0.6,10
130266,7320,0.6,14642,0.6,10
130267,7365,0.6,14729,0.6,10
130268,7410,0.6,14818,0.6,10
130269,7452,0.6,14907,0.6,10
130270,7497,0.6,14996,0.6,10
130271,7542,0.6,15086,0.6,10
130272,7587,0.6,15177,0.6,10
130273,7635,0.6,15268,0.6,10
130274,7680,0.6,15359,0.6,10
130275,7725,0.6,15451,0.6,10
130276,7773,0.6,15544,0.6,10
130277,7818,0.6,15637,0.6,10
130278,7866,0.6,15731,0.6,10
130279,7914,0.6,15826,0.6,10
130280,7959,0.6,15921,0.6,10
130281,8007,0.6,16016,0.6,10
130282,8055,0.6,16112,0.6,10
130283,8103,0.6,16209,0.6,10
130284,8154,0.6,16306,0.6,10
130285,8202,0.6,16404,0.6,10
130286,8250,0.6,16502,0.6,10
130287,8301,0.6,16601,0.6,10
130288,8349,0.6,16701,0.6,10
130289,8400,0.6,16801,0.6,10
130290,8451,0.6,16902,0.6,10
130291,8502,0.6,17003,0.6,10
130292,8553,0.6,17105,0.6,10
130293,8604,0.6,17208,0.6,10
130294,8655,0.6,17311,0.6,10
130295,8709,0.6,17415,0.6,10
130296,8760,0.6,17520,0.6,10
130297,8811,0.6,17625,0.6,10
130298,8865,0.6,17731,0.6,10
130299,8919,0.6,17837,0.6,10
130300,8973,0.6,17944,0.6,10
130301,9027,0.6,18052,0.6,10
130302,9081,0.6,18160,0.6,10
130303,9135,0.6,18269,0.6,10
130304,9189,0.6,18378,0.6,10
130305,9243,0.6,18489,0.6,10
130306,9300,0.6,18600,0.6,10
130307,9357,0.6,18711,0.6,10
130308,9411,0.6,18824,0.6,10
130309,9468,0.6,18936,0.6,10
130310,9525,0.6,19050,0.6,10
130311,9582,0.6,19164,0.6,10
130312,9639,0.6,19279,0.6,10
130313,9699,0.6,19395,0.6,10
130314,9756,0.6,19511,0.6,10
130315,9813,0.6,19629,0.6,10
130316,9873,0.6,19746,0.6,10
130317,9933,0.6,19865,0.6,10
130318,9993,0.6,19984,0.6,10
130319,10053,0.6,20104,0.6,10
130320,10113,0.6,20224,0.6,10
130321,10173,0.6,20346,0.6,10
130322,10233,0.6,20468,0.6,10
130323,10296,0.6,20591,0.6,10
130324,10356,0.6,20714,0.6,10
130325,10419,0.6,20839,0.6,10
130326,10482,0.6,20964,0.6,10
130327,10545,0.6,21089,0.6,10
130328,10608,0.6,21216,0.6,10
130329,10671,0.6,21343,0.6,10
130330,10737,0.6,21471,0.6,10
130331,10800,0.6,21600,0.6,10
130332,10866,0.6,21730,0.6,10
130333,10929,0.6,21860,0.6,10
130334,10995,0.6,21991,0.6,10
130335,11061,0.6,22123,0.6,10
130336,11127,0.6,22256,0.6,10
130337,11196,0.6,22389,0.6,10
130338,11262,0.6,22524,0.6,10
130339,11328,0.6,22659,0.6,10
130340,11397,0.6,22795,0.6,10
130341,11466,0.6,22932,0.6,10
130342,11535,0.6,23069,0.6,10
130343,11604,0.6,23208,0.6,10
130344,11673,0.6,23347,0.6,10
130345,11742,0.6,23487,0.6,10
130346,11814,0.6,23628,0.6,10
130347,11886,0.6,23770,0.6,10
130348,11955,0.6,23912,0.6,10
130349,12027,0.6,24056,0.6,10
130350,12099,0.6,24200,0.6,10
130351,12174,0.6,24345,0.6,10
130352,12246,0.6,24491,0.6,10
130353,12318,0.6,24638,0.6,10
130354,12393,0.6,24786,0.6,10
130355,12468,0.6,24935,0.6,10
130356,12543,0.6,25084,0.6,10
130357,12618,0.6,25235,0.6,10
130358,12693,0.6,25386,0.6,10
130359,12768,0.6,25539,0.6,10
130360,12846,0.6,25692,0.6,10
130361,12924,0.6,25846,0.6,10
130362,13002,0.6,26001,0.6,10
130363,13080,0.6,26157,0.6,10
130364,13158,0.6,26314,0.6,10
130365,13236,0.6,26472,0.6,10
130366,13314,0.6,26631,0.6,10
130367,13395,0.6,26791,0.6,10
130368,13476,0.6,26951,0.6,10
130369,13557,0.6,27113,0.6,10
130370,13638,0.6,27276,0.6,10
130371,13719,0.6,27439,0.6,10
130372,13803,0.6,27604,0.6,10
130373,13884,0.6,27770,0.6,10
130374,13968,0.6,27936,0.6,10
130375,14052,0.6,28104,0.6,10
130376,14136,0.6,28272,0.6,10
130377,14220,0.6,28442,0.6,10
130378,14307,0.6,28613,0.6,10
130379,14391,0.6,28784,0.6,10
130380,14478,0.6,28957,0.6,10
130381,14565,0.6,29131,0.6,10
130382,14652,0.6,29306,0.6,10
130383,14742,0.6,29482,0.6,10
130384,14829,0.6,29658,0.6,10
130385,14919,0.6,29836,0.6,10
130386,15009,0.6,30015,0.6,10
130387,15099,0.6,30195,0.6,10
130388,15189,0.6,30377,0.6,10
130389,15279,0.6,30559,0.6,10
130390,15372,0.6,30742,0.6,10
130391,15462,0.6,30927,0.6,10
130392,15555,0.6,31112,0.6,10
130393,15648,0.6,31299,0.6,10
130394,15744,0.6,31487,0.6,10
130395,15837,0.6,31676,0.6,10
130396,15933,0.6,31866,0.6,10
130397,16029,0.6,32057,0.6,10
130398,16125,0.6,32249,0.6,10
130399,16221,0.6,32443,0.6,10
130400,16320,0.6,32637,0.6,10
130401,16416,0.6,32833,0.6,10
130402,16515,0.6,33030,0.6,10
130403,16614,0.6,33228,0.6,10
130404,16713,0.6,33428,0.6,10
130405,16815,0.6,33628,0.6,10
130406,16914,0.6,33830,0.6,10
130407,17016,0.6,34033,0.6,10
130408,17118,0.6,34237,0.6,10
130409,17220,0.6,34443,0.6,10
130410,17325,0.6,34649,0.6,10
130411,17430,0.6,34857,0.6,10
130412,17532,0.6,35066,0.6,10
130413,17637,0.6,35277,0.6,10
130414,17745,0.6,35488,0.6,10
130415,17850,0.6,35701,0.6,10
130416,17958,0.6,35916,0.6,10
130417,18066,0.6,36131,0.6,10
130418,18174,0.6,36348,0.6,10
130419,18282,0.6,36566,0.6,10
130420,18393,0.6,36785,0.6,10
130421,18504,0.6,37006,0.6,10
130422,18615,0.6,37228,0.6,10
130423,18726,0.6,37451,0.6,10
130424,18837,0.6,37676,0.6,10
130425,18951,0.6,37902,0.6,10
130426,19065,0.6,38130,0.6,10
130427,19179,0.6,38358,0.6,10
130428,19293,0.6,38589,0.6,10
130429,19410,0.6,38820,0.6,10
130430,19527,0.6,39053,0.6,10
130431,19644,0.6,39287,0.6,10
130432,19761,0.6,39523,0.6,10
130433,19881,0.6,39760,0.6,10
130434,19998,0.6,39999,0.6,10
130435,20118,0.6,40239,0.6,10
130436,20241,0.6,40480,0.6,10
130437,20361,0.6,40723,0.6,10
130438,20484,0.6,40967,0.6,10
130439,20607,0.6,41213,0.6,10
130440,20730,0.6,41461,0.6,10
130441,20856,0.6,41709,0.6,10
130442,20979,0.6,41960,0.6,10
130443,21105,0.6,42211,0.6,10
130444,21231,0.6,42465,0.6,10
130445,21360,0.6,42719,0.6,10
130446,21489,0.6,42976,0.6,10
130447,21618,0.6,43234,0.6,10
130448,21747,0.6,43493,0.6,10
130449,21876,0.6,43754,0.6,10
130450,22008,0.6,44016,0.6,10
130451,22140,0.6,44281,0.6,10
130452,22272,0.6,44546,0.6,10
130453,22407,0.6,44813,0.6,10
130454,22542,0.6,45082,0.6,10
130455,22677,0.6,45353,0.6,10
130456,22812,0.6,45625,0.6,10
130457,22950,0.6,45899,0.6,10
130458,23088,0.6,46174,0.6,10
130459,23226,0.6,46451,0.6,10
130460,23364,0.6,46730,0.6,10
130461,23505,0.6,47010,0.6,10
130462,23646,0.6,47292,0.6,10
130463,23787,0.6,47576,0.6,10
130464,23931,0.6,47862,0.6,10
130465,24075,0.6,48149,0.6,10
130466,24219,0.6,48438,0.6,10
130467,24363,0.6,48728,0.6,10
130468,24510,0.6,49021,0.6,10
130469,24657,0.6,49315,0.6,10
130470,24804,0.6,49611,0.6,10
130471,24954,0.6,49908,0.6,10
130472,25104,0.6,50208,0.6,10
130473,25254,0.6,50509,0.6,10
130474,25407,0.6,50812,0.6,10
130475,25557,0.6,51117,0.6,10
130476,25713,0.6,51424,0.6,10
130477,25866,0.6,51732,0.6,10
130478,26022,0.6,52042,0.6,10
130479,26178,0.6,52355,0.6,10
130480,26334,0.6,52669,0.6,10
130481,26493,0.6,52985,0.6,10
130482,26652,0.6,53303,0.6,10
130483,26811,0.6,53623,0.6,10
130484,26973,0.6,53944,0.6,10
130485,27135,0.6,54268,0.6,10
130486,27297,0.6,54594,0.6,10
130487,27462,0.6,54921,0.6,10
130488,27624,0.6,55251,0.6,10
130489,27792,0.6,55582,0.6,10
130490,27957,0.6,55916,0.6,10
130491,28125,0.6,56251,0.6,10
130492,28293,0.6,56589,0.6,10
130493,28464,0.6,56928,0.6,10
130494,28635,0.6,57270,0.6,10
130495,28806,0.6,57613,0.6,10
130496,28980,0.6,57959,0.6,10
130497,29154,0.6,58307,0.6,10
130498,29328,0.6,58657,0.6,10
130499,29505,0.6,59009,0.6,10
130500,29682,0.6,59363,0.6,10
130501,29859,1.1,59719,1.1,10
130502,360099,1.1,60376,1.1,10
130503,364059,1.1,61040,1.1,10
130504,368064,1.1,61711,1.1,10
130505,372111,1.1,62390,1.1,10
130506,376206,1.1,63077,1.1,10
130507,380343,1.1,63770,1.1,10
130508,384528,1.1,64472,1.1,10
130509,388758,1.1,65181,1.1,10
130510,393033,1.1,65898,1.1,10
130511,397356,1.1,66623,1.1,10
130512,401727,1.1,67356,1.1,10
130513,406146,1.1,68097,1.1,10
130514,410613,1.1,68846,1.1,10
130515,415131,1.1,69603,1.1,10
130516,419697,1.1,70369,1.1,10
130517,424314,1.1,71143,1.1,10
130518,428982,1.1,71925,1.1,10
130519,433701,1.1,72717,1.1,10
130520,438471,1.1,73516,1.1,10
130521,443295,1.1,74325,1.1,10
130522,448170,1.1,75143,1.1,10
130523,453099,1.1,75969,1.1,10
130524,458085,1.1,76805,1.1,10
130525,463122,1.1,77650,1.1,10
130526,468219,1.1,78504,1.1,10
130527,473367,1.1,79367,1.1,10
130528,478575,1.1,80241,1.1,10
130529,483840,1.1,81123,1.1,10
130530,489162,1.1,82016,1.1,10
130531,494544,1.1,82918,1.1,10
130532,499983,1.1,83830,1.1,10
130533,505482,1.1,84752,1.1,10
130534,511044,1.1,85684,1.1,10
130535,516663,1.1,86627,1.1,10
130536,522348,1.1,87580,1.1,10
130537,528093,1.1,88543,1.1,10
130538,533901,1.1,89517,1.1,10
130539,539775,1.1,90502,1.1,10
130540,545712,1.1,91497,1.1,10
130541,551715,1.1,92504,1.1,10
130542,557784,1.1,93521,1.1,10
130543,563919,1.1,94550,1.1,10
130544,570123,1.1,95590,1.1,10
130545,576396,1.1,96641,1.1,10
130546,582735,1.1,97704,1.1,10
130547,589146,1.1,98779,1.1,10
130548,595626,1.1,99866,1.1,10
130549,602178,1.1,100964,1.1,10
130550,608802,1.1,102075,1.1,10
130551,615498,1.1,103198,1.1,10
130552,622269,1.1,104333,1.1,10
130553,629115,1.1,105481,1.1,10
130554,636033,1.1,106641,1.1,10
130555,643029,1.1,107814,1.1,10
130556,650103,1.1,109000,1.1,10
130557,657255,1.1,110199,1.1,10
130558,664485,1.1,111411,1.1,10
130559,671793,1.1,112637,1.1,10
130560,679185,1.1,113876,1.1,10
130561,686655,1.1,115128,1.1,10
130562,694209,1.1,116395,1.1,10
130563,701844,1.1,117675,1.1,10
130564,709563,1.1,118969,1.1,10
130565,717369,1.1,120278,1.1,10
130566,725262,1.1,121601,1.1,10
130567,733239,1.1,122939,1.1,10
130568,741303,1.1,124291,1.1,10
130569,749460,1.1,125658,1.1,10
130570,757704,1.1,127041,1.1,10
130571,766038,1.1,128438,1.1,10
130572,774465,1.1,129851,1.1,10
130573,782982,1.1,131279,1.1,10
130574,791595,1.1,132723,1.1,10
130575,800304,1.1,134183,1.1,10
130576,809106,1.1,135659,1.1,10
130577,818007,1.1,137151,1.1,10
130578,827004,1.1,138660,1.1,10
130579,836103,1.1,140185,1.1,10
130580,845298,1.1,141727,1.1,10
130581,854598,1.1,143286,1.1,10
130582,863997,1.1,144863,1.1,10
130583,873501,1.1,146456,1.1,10
130584,883110,1.1,148067,1.1,10
130585,892824,1.1,149696,1.1,10
130586,902646,1.1,151342,1.1,10
130587,912576,1.1,153007,1.1,10
130588,922614,1.1,154690,1.1,10
130589,932763,1.1,156392,1.1,10
130590,943023,1.1,158112,1.1,10
130591,953394,1.1,159851,1.1,10
130592,963882,1.1,161610,1.1,10
130593,974484,1.1,163388,1.1,10
130594,985206,1.1,165185,1.1,10
130595,996042,1.1,167002,1.1,10
130596,1006998,1.1,168839,1.1,10
130597,1018077,1.1,170696,1.1,10
130598,1029273,1.1,172574,1.1,10
130599,1040595,1.1,174472,1.1,10
130600,1052043,1.1,176391,1.1,10
130601,1063614,1.1,178332,1.1,10
130602,1075314,1.1,180293,1.1,10
130603,1087143,1.1,182276,1.1,10
130604,1099101,1.1,184281,1.1,10
130605,1111191,1.1,186309,1.1,10
130606,1123416,1.1,188358,1.1,10
130607,1135773,1.1,190430,1.1,10
130608,1148268,1.1,192525,1.1,10
130609,1160898,1.1,194642,1.1,10
130610,1173666,1.1,196783,1.1,10
130611,1186578,1.1,198948,1.1,10
130612,1199631,1.1,201136,1.1,10
130613,1212825,1.1,203349,1.1,10
130614,1226166,1.1,205586,1.1,10
130615,1239654,1.1,207847,1.1,10
130616,1253292,1.1,210134,1.1,10
130617,1267077,1.1,212445,1.1,10
130618,1281015,1.1,214782,1.1,10
130619,1295106,1.1,217145,1.1,10
130620,1309353,1.1,219533,1.1,10
130621,1323756,1.1,221948,1.1,10
130622,1338318,1.1,224389,1.1,10
130623,1353039,1.1,226858,1.1,10
130624,1367922,1.1,229353,1.1,10
130625,1382970,1.1,231876,1.1,10
130626,1398180,1.1,234427,1.1,10
130627,1413561,1.1,237005,1.1,10
130628,1429110,1.1,239612,1.1,10
130629,1444830,1.1,242248,1.1,10
130630,1460724,1.1,244913,1.1,10
130631,1476792,1.1,247607,1.1,10
130632,1493037,1.1,250331,1.1,10
130633,1509459,1.1,253084,1.1,10
130634,1526064,1.1,255868,1.1,10
130635,1542852,1.1,258683,1.1,10
130636,1559823,1.1,261528,1.1,10
130637,1576980,1.1,264405,1.1,10
130638,1594326,1.1,267313,1.1,10
130639,1611864,1.1,270254,1.1,10
130640,1629594,1.1,273227,1.1,10
130641,1647522,1.1,276232,1.1,10
130642,1665642,1.1,279271,1.1,10
130643,1683966,1.1,282343,1.1,10
130644,1702488,1.1,285449,1.1,10
130645,1721217,1.1,288588,1.1,10
130646,1740150,1.1,291763,1.1,10
130647,1759290,1.1,294972,1.1,10
130648,1778643,1.1,298217,1.1,10
130649,1798209,1.1,301497,1.1,10
130650,1817988,1.1,304814,1.1,10
130651,1837986,1.1,308167,1.1,10
130652,1858206,1.1,311557,1.1,10
130653,1878645,1.1,314984,1.1,10
130654,1899309,1.1,318449,1.1,10
130655,1920201,1.1,321952,1.1,10
130656,1941324,1.1,325493,1.1,10
130657,1962678,1.1,329073,1.1,10
130658,1984269,1.1,332693,1.1,10
130659,2006097,1.1,336353,1.1,10
130660,2028162,1.1,340053,1.1,10
130661,2050473,1.1,343793,1.1,10
130662,2073027,1.1,347575,1.1,10
130663,2095830,1.1,351398,1.1,10
130664,2118885,1.1,355264,1.1,10
130665,2142192,1.1,359172,1.1,10
130666,2165757,1.1,363123,1.1,10
130667,2189580,1.1,367117,1.1,10
130668,2213667,1.1,371155,1.1,10
130669,2238015,1.1,375238,1.1,10
130670,2262633,1.1,379365,1.1,10
130671,2287524,1.1,383539,1.1,10
130672,2312685,1.1,387757,1.1,10
130673,2338125,1.1,392023,1.1,10
130674,2363844,1.1,396335,1.1,10
130675,2389848,1.1,400695,1.1,10
130676,2416134,1.1,405102,1.1,10
130677,2442714,1.1,409558,1.1,10
130678,2469582,1.1,414064,1.1,10
130679,2496747,1.1,418618,1.1,10
130680,2524212,1.1,423223,1.1,10
130681,2551980,1.1,427879,1.1,10
130682,2580051,1.1,432585,1.1,10
130683,2608431,1.1,437344,1.1,10
130684,2637123,1.1,442154,1.1,10
130685,2666133,1.1,447018,1.1,10
130686,2695461,1.1,451935,1.1,10
130687,2725110,1.1,456907,1.1,10
130688,2755086,1.1,461933,1.1,10
130689,2785392,1.1,467014,1.1,10
130690,2816031,1.1,472151,1.1,10
130691,2847009,1.1,477345,1.1,10
130692,2878326,1.1,482595,1.1,10
130693,2909985,1.1,487904,1.1,10
130694,2941995,1.1,493271,1.1,10
130695,2974359,1.1,498697,1.1,10
130696,3007077,1.1,504183,1.1,10
130697,3040155,1.1,509729,1.1,10
130698,3073596,1.1,515336,1.1,10
130699,3107406,1.1,521004,1.1,10
130700,3141585,1.1,526735,1.1,10
130701,3176145,1.1,532529,1.1,10
130702,3211080,1.1,538387,1.1,10
130703,3246402,1.1,544310,1.1,10
130704,3282114,1.1,550297,1.1,10
130705,3318216,1.1,556350,1.1,10
130706,3354717,1.1,562470,1.1,10
130707,3391620,1.1,568657,1.1,10
130708,3428928,1.1,574912,1.1,10
130709,3466644,1.1,581237,1.1,10
130710,3504777,1.1,587630,1.1,10
130711,3543330,1.1,594094,1.1,10
130712,3582309,1.1,600629,1.1,10
130713,3621714,1.1,607236,1.1,10
130714,3661551,1.1,613916,1.1,10
130715,3701829,1.1,620669,1.1,10
130716,3742548,1.1,627496,1.1,10
130717,3783717,1.1,634398,1.1,10
130718,3825339,1.1,641377,1.1,10
130719,3867417,1.1,648432,1.1,10
